Symptom Description,Disease
"sensitivity to sound, vomiting, nausea, sensitivity to light",Migraine
"muscle aches, fever, fatigue, chills, headache",Flu
"fever, itching, rash, loss of appetite",Chickenpox
"sweating, increased heart rate, difficulty concentrating, restlessness, nervousness",Anxiety
"nosebleeds, dizziness, headache, shortness of breath",Hypertension
"sneezing, runny nose, itchy eyes, congestion, rash",Allergy
"difficulty concentrating, sweating, nervousness, increased heart rate, restlessness",Anxiety
"blurred vision, weight loss, increased thirst, frequent urination, fatigue",Diabetes
"tiredness, dry cough, fever, loss of smell",COVID-19
"nosebleeds, headache, shortness of breath",Hypertension
"rash, loss of appetite, itching, fatigue",Chickenpox
"fever, weight loss, coughing, fatigue, night sweats",Tuberculosis
"cough, headache, fatigue, chills, muscle aches",Flu
"fatigue, slight fever, mucus, cough",Bronchitis
"night sweats, fatigue, weight loss, coughing, fever",Tuberculosis
"fever, fatigue, muscle aches",Flu
"sensitivity to light, sensitivity to sound, nausea, vomiting, headache",Migraine
"sweating, nervousness, increased heart rate, difficulty concentrating, restlessness",Anxiety
"muscle aches, headache, fever, cough",Flu
"sweating, difficulty concentrating, nervousness",Anxiety
"shortness of breath, headache, dizziness, nosebleeds",Hypertension
"cough, shortness of breath, slight fever, fatigue",Bronchitis
"fatigue, muscle aches, fever",Flu
"fatigue, chest pain, shortness of breath, fever",Pneumonia
"loss of taste, tiredness, fever",COVID-19
"dry cough, tiredness, fever",COVID-19
"sneezing, mild fever, congestion, runny nose",Common Cold
"changes in appetite, loss of interest, fatigue",Depression
"chills, cough, fatigue, muscle aches, headache",Flu
"weight loss, fatigue, fever",Tuberculosis
"increased thirst, weight loss, fatigue, frequent urination",Diabetes
"slight fever, fatigue, cough, mucus",Bronchitis
"mild fever, sore throat, runny nose, congestion, cough",Common Cold
"fatigue, loss of interest, insomnia, persistent sadness, changes in appetite",Depression
"fatigue, fever, itching, rash, loss of appetite",Chickenpox
"blurred vision, fatigue, weight loss",Diabetes
"fever, coughing, fatigue, weight loss",Tuberculosis
"fever, headache, chills, sweating, nausea, vomiting",Malaria
"runny nose, congestion, sneezing, sore throat, cough, mild fever",Common Cold
"fatigue, rash, itching, loss of appetite",Chickenpox
"shortness of breath, coughing, wheezing",Asthma
"congestion, itchy eyes, runny nose",Allergy
"coughing, chest tightness, wheezing",Asthma
"loss of taste, difficulty breathing, loss of smell, tiredness",COVID-19
"increased thirst, fatigue, weight loss, blurred vision, frequent urination",Diabetes
"difficulty concentrating, sweating, nervousness",Anxiety
"difficulty concentrating, restlessness, sweating",Anxiety
"difficulty concentrating, nervousness, increased heart rate",Anxiety
"itchy eyes, sneezing, rash, congestion, runny nose",Allergy
"fever, coughing, weight loss",Tuberculosis
"runny nose, sneezing, mild fever, cough, congestion, sore throat",Common Cold
"fatigue, coughing, fever, weight loss",Tuberculosis
"coughing, chest tightness, shortness of breath",Asthma
"fever, loss of smell, tiredness",COVID-19
"loss of interest, changes in appetite, persistent sadness",Depression
"loss of appetite, fatigue, itching",Chickenpox
"blurred vision, frequent urination, fatigue, weight loss, increased thirst",Diabetes
"fatigue, increased thirst, weight loss, blurred vision, frequent urination",Diabetes
"sore throat, cough, mild fever, congestion, runny nose, sneezing",Common Cold
"shortness of breath, wheezing, chest tightness",Asthma
"loss of smell, fever, difficulty breathing, loss of taste, dry cough",COVID-19
"sneezing, rash, runny nose, itchy eyes, congestion",Allergy
"fever, chest pain, shortness of breath",Pneumonia
"wheezing, chest tightness, shortness of breath, coughing",Asthma
"vomiting, sensitivity to light, sensitivity to sound, headache, nausea",Migraine
"mild fever, sore throat, runny nose, congestion",Common Cold
"tiredness, loss of smell, difficulty breathing, fever, loss of taste, dry cough",COVID-19
"vomiting, headache, nausea, sensitivity to light",Migraine
"nausea, chills, fever",Malaria
"fatigue, fever, chest pain, shortness of breath, cough",Pneumonia
"nausea, sensitivity to sound, headache",Migraine
"nausea, headache, vomiting",Malaria
"sensitivity to light, vomiting, sensitivity to sound, nausea, headache",Migraine
"shortness of breath, coughing, wheezing, chest tightness",Asthma
"runny nose, sneezing, congestion, rash",Allergy
"fever, fatigue, cough, chest pain, shortness of breath",Pneumonia
"loss of smell, fever, difficulty breathing, tiredness",COVID-19
"shortness of breath, cough, fever",Pneumonia
"dry cough, loss of taste, tiredness, loss of smell",COVID-19
"headache, cough, fatigue, chills, fever, muscle aches",Flu
"fever, fatigue, cough, chest pain",Pneumonia
"insomnia, loss of interest, persistent sadness, fatigue",Depression
"rash, fatigue, itching, loss of appetite",Chickenpox
"fatigue, changes in appetite, loss of interest",Depression
"cough, fever, chills",Flu
"nosebleeds, headache, dizziness, shortness of breath",Hypertension
"sweating, headache, fever, chills, vomiting",Malaria
"mucus, fatigue, cough, shortness of breath",Bronchitis
"cough, fever, fatigue",Pneumonia
"sneezing, rash, itchy eyes",Allergy
"headache, chills, fever, sweating",Malaria
"insomnia, loss of interest, changes in appetite, fatigue, persistent sadness",Depression
"vomiting, nausea, chills",Malaria
"headache, dizziness, shortness of breath, nosebleeds",Hypertension
"sneezing, congestion, cough, runny nose",Common Cold
"cough, fatigue, muscle aches, headache",Flu
"rash, congestion, runny nose, itchy eyes",Allergy
"frequent urination, weight loss, fatigue",Diabetes
"sweating, increased heart rate, nervousness, restlessness",Anxiety
"chest pain, fatigue, cough, fever",Pneumonia
"insomnia, loss of interest, changes in appetite, persistent sadness, fatigue",Depression
"nosebleeds, headache, shortness of breath, dizziness",Hypertension
"increased thirst, weight loss, fatigue, blurred vision, frequent urination",Diabetes
"congestion, itchy eyes, rash, sneezing, runny nose",Allergy
"fever, chills, nausea, sweating, vomiting, headache",Malaria
"fever, cough, chills, headache",Flu
"weight loss, fever, fatigue",Tuberculosis
"wheezing, coughing, shortness of breath, chest tightness",Asthma
"itching, rash, loss of appetite",Chickenpox
"headache, sensitivity to sound, sensitivity to light, nausea",Migraine
"wheezing, chest tightness, shortness of breath",Asthma
"nausea, headache, chills, sweating, vomiting",Malaria
"dizziness, shortness of breath, headache, nosebleeds",Hypertension
"cough, muscle aches, headache",Flu
"loss of appetite, itching, fatigue, rash, fever",Chickenpox
"sweating, restlessness, nervousness",Anxiety
"chest tightness, shortness of breath, coughing",Asthma
"sneezing, runny nose, rash, congestion, itchy eyes",Allergy
"nausea, sensitivity to light, headache, sensitivity to sound",Migraine
"slight fever, mucus, shortness of breath",Bronchitis
"difficulty breathing, tiredness, dry cough, loss of taste, fever",COVID-19
"chest pain, fatigue, cough, shortness of breath, fever",Pneumonia
"rash, runny nose, sneezing, itchy eyes",Allergy
"frequent urination, fatigue, weight loss, blurred vision, increased thirst",Diabetes
"rash, runny nose, congestion, sneezing",Allergy
"vomiting, sensitivity to light, nausea, headache, sensitivity to sound",Migraine
"frequent urination, weight loss, fatigue, blurred vision",Diabetes
"weight loss, fever, night sweats, fatigue",Tuberculosis
"fatigue, weight loss, night sweats, coughing",Tuberculosis
"nervousness, difficulty concentrating, restlessness",Anxiety
"restlessness, increased heart rate, sweating, nervousness",Anxiety
"shortness of breath, wheezing, chest tightness, coughing",Asthma
"mild fever, sneezing, sore throat",Common Cold
"sore throat, mild fever, sneezing, runny nose, cough",Common Cold
"shortness of breath, coughing, wheezing, chest tightness",Asthma
"vomiting, chills, nausea, fever, sweating, headache",Malaria
"sneezing, cough, runny nose, mild fever, sore throat, congestion",Common Cold
"shortness of breath, cough, fatigue, fever",Pneumonia
"cough, sneezing, sore throat",Common Cold
"wheezing, coughing, chest tightness, shortness of breath",Asthma
"fever, itching, loss of appetite, rash",Chickenpox
"vomiting, nausea, sweating",Malaria
"fever, chills, cough, headache",Flu
"runny nose, mild fever, sneezing, congestion",Common Cold
"cough, shortness of breath, fatigue, chest pain",Pneumonia
"fatigue, frequent urination, weight loss",Diabetes
"sensitivity to light, sensitivity to sound, headache",Migraine
"fever, night sweats, coughing, fatigue, weight loss",Tuberculosis
"congestion, sneezing, cough, runny nose, mild fever",Common Cold
"fever, fatigue, loss of appetite",Chickenpox
"vomiting, sensitivity to sound, headache, nausea",Migraine
"difficulty breathing, loss of smell, fever",COVID-19
"cough, fatigue, fever, chest pain",Pneumonia
"fever, coughing, fatigue, weight loss",Tuberculosis
"changes in appetite, persistent sadness, fatigue, insomnia, loss of interest",Depression
"congestion, sneezing, itchy eyes, rash, runny nose",Allergy
"weight loss, increased thirst, fatigue, blurred vision",Diabetes
"sensitivity to sound, sensitivity to light, vomiting",Migraine
"chest tightness, wheezing, coughing, shortness of breath",Asthma
"vomiting, headache, fever, nausea",Malaria
"chest tightness, coughing, wheezing, shortness of breath",Asthma
"rash, itchy eyes, sneezing, runny nose",Allergy
"nosebleeds, headache, dizziness",Hypertension
"cough, fever, fatigue",Flu
"insomnia, fatigue, persistent sadness, loss of interest",Depression
"vomiting, headache, nausea, sensitivity to sound",Migraine
"sweating, increased heart rate, difficulty concentrating",Anxiety
"dry cough, difficulty breathing, tiredness, loss of smell, loss of taste, fever",COVID-19
"restlessness, increased heart rate, difficulty concentrating, sweating, nervousness",Anxiety
"sweating, restlessness, increased heart rate",Anxiety
"loss of interest, changes in appetite, fatigue, insomnia",Depression
"slight fever, cough, mucus, fatigue",Bronchitis
"sweating, vomiting, headache, nausea, chills",Malaria
"sweating, restlessness, difficulty concentrating, nervousness",Anxiety
"weight loss, coughing, fever",Tuberculosis
"headache, chills, fever, cough, muscle aches",Flu
"cough, slight fever, fatigue",Bronchitis
"dry cough, difficulty breathing, fever, loss of smell, tiredness",COVID-19
"fever, itching, loss of appetite, rash, fatigue",Chickenpox
"chest pain, cough, shortness of breath, fatigue, fever",Pneumonia
"sneezing, rash, runny nose, itchy eyes",Allergy
"vomiting, headache, sensitivity to light, nausea, sensitivity to sound",Migraine
"vomiting, headache, nausea, sensitivity to light, sensitivity to sound",Migraine
"runny nose, cough, sore throat, congestion",Common Cold
"coughing, shortness of breath, wheezing",Asthma
"sneezing, sore throat, mild fever",Common Cold
"sore throat, mild fever, runny nose, congestion",Common Cold
"chest pain, cough, shortness of breath",Pneumonia
"fatigue, mucus, cough, shortness of breath",Bronchitis
"insomnia, changes in appetite, fatigue, loss of interest",Depression
"congestion, sneezing, runny nose, rash, itchy eyes",Allergy
"fatigue, fever, loss of appetite, rash, itching",Chickenpox
"shortness of breath, coughing, chest tightness",Asthma
"blurred vision, weight loss, frequent urination, increased thirst",Diabetes
"fever, itching, fatigue, loss of appetite, rash",Chickenpox
"mucus, cough, fatigue, slight fever, shortness of breath",Bronchitis
"shortness of breath, coughing, wheezing, chest tightness",Asthma
"fever, loss of appetite, fatigue, itching, rash",Chickenpox
"mild fever, cough, sneezing, runny nose",Common Cold
"itching, fatigue, fever, loss of appetite, rash",Chickenpox
"restlessness, nervousness, difficulty concentrating",Anxiety
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"fever, weight loss, coughing, fatigue, night sweats",Tuberculosis
"sore throat, mild fever, sneezing, cough, runny nose",Common Cold
"nervousness, restlessness, difficulty concentrating",Anxiety
"cough, slight fever, fatigue, shortness of breath, mucus",Bronchitis
"sensitivity to sound, vomiting, nausea, sensitivity to light, headache",Migraine
"changes in appetite, persistent sadness, fatigue, loss of interest, insomnia",Depression
"mild fever, congestion, cough, runny nose, sore throat, sneezing",Common Cold
"mucus, cough, shortness of breath",Bronchitis
"vomiting, headache, fever, nausea",Malaria
"fever, dry cough, tiredness",COVID-19
"sweating, chills, fever, nausea, vomiting",Malaria
"nervousness, difficulty concentrating, restlessness",Anxiety
"restlessness, increased heart rate, sweating",Anxiety
"shortness of breath, coughing, wheezing",Asthma
"itchy eyes, runny nose, sneezing",Allergy
"cough, shortness of breath, chest pain, fever, fatigue",Pneumonia
"loss of interest, insomnia, fatigue",Depression
"sore throat, mild fever, congestion",Common Cold
"loss of smell, tiredness, difficulty breathing, dry cough, loss of taste",COVID-19
"chest tightness, wheezing, coughing, shortness of breath",Asthma
